Event Name,Event Date,Rated,Round,Player 1,Player 2,Result
"TGE Booster Draft","Feb. 16, 2023, 8:30 p.m.","False",3,"Stamper, Patrick (98962536)","Stanley, isaac (67696938)","Player 1 Win"
"Thursday Flesh and Blood Locals","Feb. 16, 2023, 7 p.m.","False",1,"Hawks, Dakota (86729596)","Stanley, isaac (67696938)","Player 2 Win"
"Thursday Flesh and Blood Locals","Feb. 16, 2023, 7 p.m.","False",2,"Stanley, isaac (67696938)","Pence, Jon (68664935)","Player 1 Win"
"Thursday Flesh and Blood Locals","Feb. 16, 2023, 7 p.m.","False",3,"Stanley, isaac (67696938)","Stamper, Patrick (98962536)","Player 2 Win"
"Thursday Flesh and Blood Locals","Feb. 10, 2023, 4:22 p.m.","False",1,"Tharp, Daniel (37218473)","Stanley, isaac (67696938)","Player 2 Win"
"Thursday Flesh and Blood Locals","Feb. 10, 2023, 4:22 p.m.","False",2,"Stamper, Patrick (98962536)","Stanley, isaac (67696938)","Player 1 Win"
"Thursday Flesh and Blood Locals","Feb. 10, 2023, 4:22 p.m.","False",3,"Stanley, isaac (67696938)","Lansangan, Nathaniel (12242261)","Player 2 Win"
"Thursday Flesh and Blood Locals","Feb. 10, 2023, 12:30 p.m.","False",1,"Tharp, Daniel (37218473)","Stanley, isaac (67696938)","Player 1 Win"
"Thursday Flesh and Blood Locals","Feb. 10, 2023, 12:30 p.m.","False",2,"Stanley, isaac (67696938)","None","Player 1 Win"
"Thursday Flesh and Blood Locals","Feb. 10, 2023, 12:30 p.m.","False",3,"Stanley, isaac (67696938)","Pence, Jon (68664935)","Player 1 Win"
"Thursday Flesh and Blood Locals","Feb. 10, 2023, 12:30 p.m.","False",4,"Hawks, Dakota (86729596)","Stanley, isaac (67696938)","Player 1 Win"
"SUN 0930 Battle Hardened","Feb. 5, 2023, 9:30 a.m.","True",1,"Emerick, Chad (42246413)","Stanley, isaac (67696938)","Player 1 Win"
"SUN 0930 Battle Hardened","Feb. 5, 2023, 9:30 a.m.","True",2,"Overholt, Jonah (53553898)","Stanley, isaac (67696938)","Player 2 Win"
"SUN 0930 Battle Hardened","Feb. 5, 2023, 9:30 a.m.","True",3,"Stanley, isaac (67696938)","Chiu, Derek (79134122)","Player 2 Win"
"SUN 0930 Battle Hardened","Feb. 5, 2023, 9:30 a.m.","True",4,"Lau, Joshua (64912678)","Stanley, isaac (67696938)","Player 1 Win"
"SUN 0930 Battle Hardened","Feb. 5, 2023, 9:30 a.m.","True",5,"Stanley, isaac (67696938)","Green, Diana (84825756)","Player 1 Win"
"SUN 0930 Battle Hardened","Feb. 5, 2023, 9:30 a.m.","True",6,"Stowe, Holly (12772677)","Stanley, isaac (67696938)","Player 2 Win"
"SUN 0930 Battle Hardened","Feb. 5, 2023, 9:30 a.m.","True",7,"Stanley, isaac (67696938)","Galligan, Trevor (55997413)","Player 1 Win"
"SUN 0930 Battle Hardened","Feb. 5, 2023, 9:30 a.m.","True",8,"Simmons (Give back Skeleta), Charles (12285563)","Stanley, isaac (67696938)","Player 1 Win"
"SAT 1800 Classic Constructed+ - SCG CON Indianapolis","Feb. 4, 2023, 6 p.m.","False",1,"C, Eugene (36199282)","Stanley, isaac (67696938)","Player 2 Win"
"SAT 1800 Classic Constructed+ - SCG CON Indianapolis","Feb. 4, 2023, 6 p.m.","False",2,"Valdez, Robbie (48216296)","Stanley, isaac (67696938)","Player 1 Win"
"SAT 1800 Classic Constructed+ - SCG CON Indianapolis","Feb. 4, 2023, 6 p.m.","False",3,"Stanley, isaac (67696938)","Lansangan, Nathaniel (12242261)","Draw"
"Calling Indianapolis 2023","Feb. 4, 2023, 10:15 a.m.","True",1,"Stanley, isaac (67696938)","Smith, Gregory (47782776)","Player 2 Win"
"Calling Indianapolis 2023","Feb. 4, 2023, 10:15 a.m.","True",2,"Stanley, isaac (67696938)","Baar, Andrew (29484646)","Player 2 Win"
